22:34:03 - Mekuri詳細 -> 初期サム(Asum):103892151 | 最終サム(Bsum): | ExitFLG:False | ローディング延長(TO):
22:34:19 - Mekuri完了 -> 最新(END):18856715 | 前(bef0):2937937357 | 2回前(bef1):634200942 | 3回前(bef2):2449164035
22:34:21 - Mekuri詳細 -> 初期サム(Asum):18856715 | 最終サム(Bsum):1002962231 | ExitFLG:True | ローディング延長(TO):
22:34:21 - Mekuri完了 -> 最新(END):1002962231 | 前(bef0):18856715 | 2回前(bef1):2937937357 | 3回前(bef2):634200942
22:34:23 - Mekuri詳細 -> 初期サム(Asum):1002962231 | 最終サム(Bsum):39351594 | ExitFLG:True | ローディング延長(TO):
22:34:23 - Mekuri完了 -> 最新(END):39351594 | 前(bef0):1002962231 | 2回前(bef1):18856715 | 3回前(bef2):2937937357
22:34:24 - Mekuri詳細 -> 初期サム(Asum):39351594 | 最終サム(Bsum): | ExitFLG:False | ローディング延長(TO):
22:34:24 - Mekuri完了 -> 最新(END): | 前(bef0):39351594 | 2回前(bef1):1002962231 | 3回前(bef2):18856715
22:34:26 - Mekuri詳細 -> 初期サム(Asum):39351594 | 最終サム(Bsum):39351594 | ExitFLG:True | ローディング延長(TO):
22:34:26 - Mekuri完了 -> 最新(END):39351594 | 前(bef0): | 2回前(bef1):39351594 | 3回前(bef2):1002962231
22:34:27 - Mekuri詳細 -> 初期サム(Asum):39351594 | 最終サム(Bsum):650899962 | ExitFLG:True | ローディング延長(TO):0
22:34:27 - Mekuri完了 -> 最新(END):650899962 | 前(bef0):39351594 | 2回前(bef1): | 3回前(bef2):39351594
22:34:29 - Mekuri詳細 -> 初期サム(Asum):650899962 | 最終サム(Bsum):39351594 | ExitFLG:True | ローディング延長(TO):
22:34:29 - Mekuri完了 -> 最新(END):39351594 | 前(bef0):650899962 | 2回前(bef1):39351594 | 3回前(bef2):
22:34:31 - Mekuri詳細 -> 初期サム(Asum):39351594 | 最終サム(Bsum):2846996285 | ExitFLG:True | ローディング延長(TO):0
22:34:31 - Mekuri完了 -> 最新(END):2846996285 | 前(bef0):39351594 | 2回前(bef1):650899962 | 3回前(bef2):39351594
22:34:33 - Mekuri詳細 -> 初期サム(Asum):2846996285 | 最終サム(Bsum):39351594 | ExitFLG:True | ローディング延長(TO):
22:34:33 - Mekuri完了 -> 最新(END):39351594 | 前(bef0):2846996285 | 2回前(bef1):39351594 | 3回前(bef2):650899962
22:34:34 - Mekuri詳細 -> 初期サム(Asum):39351594 | 最終サム(Bsum):650899962 | ExitFLG:True | ローディング延長(TO):0
22:34:34 - Mekuri完了 -> 最新(END):650899962 | 前(bef0):39351594 | 2回前(bef1):2846996285 | 3回前(bef2):39351594
22:34:36 - Mekuri詳細 -> 初期サム(Asum):650899962 | 最終サム(Bsum):39351594 | ExitFLG:True | ローディング延長(TO):
22:34:36 - Mekuri完了 -> 最新(END):39351594 | 前(bef0):650899962 | 2回前(bef1):39351594 | 3回前(bef2):2846996285
22:34:37 - Mekuri詳細 -> 初期サム(Asum):39351594 | 最終サム(Bsum): | ExitFLG:False | ローディング延長(TO):
22:34:37 - Mekuri完了 -> 最新(END): | 前(bef0):39351594 | 2回前(bef1):650899962 | 3回前(bef2):39351594
22:34:38 - Mekuri詳細 -> 初期サム(Asum):39351594 | 最終サム(Bsum): | ExitFLG:False | ローディング延長(TO):
22:34:38 - Mekuri完了 -> 最新(END): | 前(bef0): | 2回前(bef1):39351594 | 3回前(bef2):650899962
22:34:39 - Mekuri詳細 -> 初期サム(Asum):39351594 | 最終サム(Bsum):3490155615 | ExitFLG:True | ローディング延長(TO):0
22:34:39 - Mekuri完了 -> 最新(END):3490155615 | 前(bef0): | 2回前(bef1): | 3回前(bef2):39351594
22:34:41 - Mekuri詳細 -> 初期サム(Asum):2088877286 | 最終サム(Bsum):39351594 | ExitFLG:True | ローディング延長(TO):
22:34:41 - Mekuri完了 -> 最新(END):39351594 | 前(bef0):3490155615 | 2回前(bef1): | 3回前(bef2):
22:34:42 - Mekuri詳細 -> 初期サム(Asum):39351594 | 最終サム(Bsum):3490155615 | ExitFLG:True | ローディング延長(TO):0
22:34:42 - Mekuri完了 -> 最新(END):3490155615 | 前(bef0):39351594 | 2回前(bef1):3490155615 | 3回前(bef2):
22:34:44 - Mekuri詳細 -> 初期サム(Asum):436560910 | 最終サム(Bsum):39351594 | ExitFLG:True | ローディング延長(TO):
22:34:44 - Mekuri完了 -> 最新(END):39351594 | 前(bef0):3490155615 | 2回前(bef1):39351594 | 3回前(bef2):3490155615
22:35:56 - Mekuri詳細 -> 初期サム(Asum):2937937357 | 最終サム(Bsum): | ExitFLG:False | ローディング延長(TO):
22:35:56 - Mekuri完了 -> 最新(END): | 前(bef0):39351594 | 2回前(bef1):9 | 3回前(bef2):99
22:35:57 - Mekuri詳細 -> 初期サム(Asum):18856715 | 最終サム(Bsum): | ExitFLG:False | ローディング延長(TO):
22:35:57 - Mekuri完了 -> 最新(END): | 前(bef0): | 2回前(bef1):39351594 | 3回前(bef2):9
22:35:59 - Mekuri詳細 -> 初期サム(Asum):1002962231 | 最終サム(Bsum):39351594 | ExitFLG:True | ローディング延長(TO):
22:35:59 - Mekuri完了 -> 最新(END):39351594 | 前(bef0): | 2回前(bef1): | 3回前(bef2):39351594
22:36:00 - Mekuri詳細 -> 初期サム(Asum):39351594 | 最終サム(Bsum): | ExitFLG:False | ローディング延長(TO):
22:36:00 - Mekuri完了 -> 最新(END): | 前(bef0):39351594 | 2回前(bef1): | 3回前(bef2):
22:36:02 - Mekuri詳細 -> 初期サム(Asum):3198454991 | 最終サム(Bsum):39351594 | ExitFLG:True | ローディング延長(TO):
22:36:02 - Mekuri完了 -> 最新(END):39351594 | 前(bef0): | 2回前(bef1):39351594 | 3回前(bef2):
22:36:29 - Mekuri詳細 -> 初期サム(Asum):2937937357 | 最終サム(Bsum): | ExitFLG:False | ローディング延長(TO):
22:36:29 - Mekuri完了 -> 最新(END): | 前(bef0):39351594 | 2回前(bef1):9 | 3回前(bef2):99
22:36:30 - Mekuri詳細 -> 初期サム(Asum):18856715 | 最終サム(Bsum): | ExitFLG:False | ローディング延長(TO):
22:36:30 - Mekuri完了 -> 最新(END): | 前(bef0): | 2回前(bef1):39351594 | 3回前(bef2):9
22:36:32 - Mekuri詳細 -> 初期サム(Asum):1002962231 | 最終サム(Bsum):39351594 | ExitFLG:True | ローディング延長(TO):
22:36:32 - Mekuri完了 -> 最新(END):39351594 | 前(bef0): | 2回前(bef1): | 3回前(bef2):39351594
22:36:33 - Mekuri詳細 -> 初期サム(Asum):39351594 | 最終サム(Bsum):388921550 | ExitFLG:True | ローディング延長(TO):0
22:36:33 - Mekuri完了 -> 最新(END):388921550 | 前(bef0):39351594 | 2回前(bef1): | 3回前(bef2):
22:36:35 - Mekuri詳細 -> 初期サム(Asum):3384496288 | 最終サム(Bsum):39351594 | ExitFLG:True | ローディング延長(TO):
22:36:35 - Mekuri完了 -> 最新(END):39351594 | 前(bef0):388921550 | 2回前(bef1):39351594 | 3回前(bef2):
22:36:36 - Mekuri詳細 -> 初期サム(Asum):39351594 | 最終サム(Bsum):388921550 | ExitFLG:True | ローディング延長(TO):0
22:36:36 - Mekuri完了 -> 最新(END):388921550 | 前(bef0):39351594 | 2回前(bef1):388921550 | 3回前(bef2):39351594
22:36:59 - Mekuri詳細 -> 初期サム(Asum):2846996285 | 最終サム(Bsum): | ExitFLG:False | ローディング延長(TO):
22:36:59 - Mekuri完了 -> 最新(END): | 前(bef0):388921550 | 2回前(bef1):9 | 3回前(bef2):99
22:37:00 - Mekuri詳細 -> 初期サム(Asum):2846996285 | 最終サム(Bsum): | ExitFLG:False | ローディング延長(TO):
22:37:00 - Mekuri完了 -> 最新(END): | 前(bef0): | 2回前(bef1):388921550 | 3回前(bef2):9
22:37:01 - Mekuri詳細 -> 初期サム(Asum):2846996285 | 最終サム(Bsum): | ExitFLG:False | ローディング延長(TO):
22:37:01 - Mekuri完了 -> 最新(END): | 前(bef0): | 2回前(bef1): | 3回前(bef2):388921550
22:37:02 - Mekuri詳細 -> 初期サム(Asum):2846996285 | 最終サム(Bsum): | ExitFLG:False | ローディング延長(TO):
22:37:02 - Mekuri完了 -> 最新(END): | 前(bef0): | 2回前(bef1): | 3回前(bef2):
22:37:24 - Mekuri詳細 -> 初期サム(Asum):2846996285 | 最終サム(Bsum): | ExitFLG:False | ローディング延長(TO):
22:37:24 - Mekuri完了 -> 最新(END): | 前(bef0): | 2回前(bef1):9 | 3回前(bef2):99
22:37:25 - Mekuri詳細 -> 初期サム(Asum):2846996285 | 最終サム(Bsum): | ExitFLG:False | ローディング延長(TO):
22:37:25 - Mekuri完了 -> 最新(END): | 前(bef0): | 2回前(bef1): | 3回前(bef2):9
22:37:26 - Mekuri詳細 -> 初期サム(Asum):2846996285 | 最終サム(Bsum): | ExitFLG:False | ローディング延長(TO):
22:37:26 - Mekuri完了 -> 最新(END): | 前(bef0): | 2回前(bef1): | 3回前(bef2):
22:37:48 - Mekuri詳細 -> 初期サム(Asum):2846996285 | 最終サム(Bsum): | ExitFLG:False | ローディング延長(TO):
22:37:48 - Mekuri完了 -> 最新(END): | 前(bef0): | 2回前(bef1):9 | 3回前(bef2):99
22:37:49 - Mekuri詳細 -> 初期サム(Asum):2846996285 | 最終サム(Bsum): | ExitFLG:False | ローディング延長(TO):
22:37:49 - Mekuri完了 -> 最新(END): | 前(bef0): | 2回前(bef1): | 3回前(bef2):9
22:37:50 - Mekuri詳細 -> 初期サム(Asum):2846996285 | 最終サム(Bsum): | ExitFLG:False | ローディング延長(TO):
22:37:50 - Mekuri完了 -> 最新(END): | 前(bef0): | 2回前(bef1): | 3回前(bef2):
22:38:12 - Mekuri詳細 -> 初期サム(Asum):2846996285 | 最終サム(Bsum): | ExitFLG:False | ローディング延長(TO):
22:38:12 - Mekuri完了 -> 最新(END): | 前(bef0): | 2回前(bef1):9 | 3回前(bef2):99
22:38:13 - Mekuri詳細 -> 初期サム(Asum):2846996285 | 最終サム(Bsum): | ExitFLG:False | ローディング延長(TO):
22:38:13 - Mekuri完了 -> 最新(END): | 前(bef0): | 2回前(bef1): | 3回前(bef2):9
22:38:14 - Mekuri詳細 -> 初期サム(Asum):2846996285 | 最終サム(Bsum): | ExitFLG:False | ローディング延長(TO):
22:38:14 - Mekuri完了 -> 最新(END): | 前(bef0): | 2回前(bef1): | 3回前(bef2):
22:38:36 - Mekuri詳細 -> 初期サム(Asum):2846996285 | 最終サム(Bsum): | ExitFLG:False | ローディング延長(TO):
22:38:36 - Mekuri完了 -> 最新(END): | 前(bef0): | 2回前(bef1):9 | 3回前(bef2):99
22:38:37 - Mekuri詳細 -> 初期サム(Asum):2846996285 | 最終サム(Bsum): | ExitFLG:False | ローディング延長(TO):
22:38:37 - Mekuri完了 -> 最新(END): | 前(bef0): | 2回前(bef1): | 3回前(bef2):9
22:38:38 - Mekuri詳細 -> 初期サム(Asum):2846996285 | 最終サム(Bsum): | ExitFLG:False | ローディング延長(TO):
22:38:38 - Mekuri完了 -> 最新(END): | 前(bef0): | 2回前(bef1): | 3回前(bef2):
22:39:00 - Mekuri詳細 -> 初期サム(Asum):2846996285 | 最終サム(Bsum): | ExitFLG:False | ローディング延長(TO):
22:39:00 - Mekuri完了 -> 最新(END): | 前(bef0): | 2回前(bef1):9 | 3回前(bef2):99
22:39:01 - Mekuri詳細 -> 初期サム(Asum):2846996285 | 最終サム(Bsum): | ExitFLG:False | ローディング延長(TO):
22:39:01 - Mekuri完了 -> 最新(END): | 前(bef0): | 2回前(bef1): | 3回前(bef2):9
22:39:02 - Mekuri詳細 -> 初期サム(Asum):2846996285 | 最終サム(Bsum): | ExitFLG:False | ローディング延長(TO):
22:39:02 - Mekuri完了 -> 最新(END): | 前(bef0): | 2回前(bef1): | 3回前(bef2):
22:39:24 - Mekuri詳細 -> 初期サム(Asum):2846996285 | 最終サム(Bsum): | ExitFLG:False | ローディング延長(TO):
22:39:24 - Mekuri完了 -> 最新(END): | 前(bef0): | 2回前(bef1):9 | 3回前(bef2):99
22:39:25 - Mekuri詳細 -> 初期サム(Asum):2846996285 | 最終サム(Bsum): | ExitFLG:False | ローディング延長(TO):
22:39:25 - Mekuri完了 -> 最新(END): | 前(bef0): | 2回前(bef1): | 3回前(bef2):9
22:39:26 - Mekuri詳細 -> 初期サム(Asum):2846996285 | 最終サム(Bsum): | ExitFLG:False | ローディング延長(TO):
22:39:26 - Mekuri完了 -> 最新(END): | 前(bef0): | 2回前(bef1): | 3回前(bef2):
22:39:48 - Mekuri詳細 -> 初期サム(Asum):2846996285 | 最終サム(Bsum): | ExitFLG:False | ローディング延長(TO):
22:39:48 - Mekuri完了 -> 最新(END): | 前(bef0): | 2回前(bef1):9 | 3回前(bef2):99
22:39:49 - Mekuri詳細 -> 初期サム(Asum):2846996285 | 最終サム(Bsum): | ExitFLG:False | ローディング延長(TO):
22:39:49 - Mekuri完了 -> 最新(END): | 前(bef0): | 2回前(bef1): | 3回前(bef2):9
22:39:50 - Mekuri詳細 -> 初期サム(Asum):2846996285 | 最終サム(Bsum): | ExitFLG:False | ローディング延長(TO):
22:39:50 - Mekuri完了 -> 最新(END): | 前(bef0): | 2回前(bef1): | 3回前(bef2):
